level_0,index,Year,State,County,CountyFIPS,Median_Household_Income,Unemployment_Rate,Income_Inequality_Gini,Households_on_Food_Stamps,Households_Income_Below_10K,Population_Income_Above_200PCT_Poverty,High_School_Graduation_Rate,Bachelor_Degree_Rate,Less_Than_High_School_Edu,Graduate_Degree_Rate,Youth_Not_in_School_or_Work,Uninsured_Rate_Under_64,Hospitals_with_Ambulance_per_1K,Median_Distance_to_ER,Median_Distance_to_Clinic,Advanced_Nurses_per_1K,Primary_Care_Shortage_Score,Households_No_Vehicle,Median_Home_Value,Percent_Homes_Built_Pre_1979,Days_Heat_Index_Above_100F,Storm_Injuries_Total,Elderly_Living_Alone,Single_Parent_Households,Non_Citizen_Population,Limited_English_Households,Injury_Death_Rate,Self_Harm_Death_Rate,Poverty_Rate,Premature_Death_Rate,Adult_Health_Score,Max_SDOH_Category,Max_SDOH_Percent
0,0,2010,Texas,Anderson County,48001,40378.0,7.01,0.47,10.75,10.62,59.05,36.37,8.43,25.19,2.92,3.89,25.6,0.02,5.97,4.36,0.22,1.0,5.46,81000.0,50.67,94.0,0.0,12.4,30.68,4.63,1.87,0.5337253545485992,0.8413379073756431,17.245037529853292,0.6711236821805093,0.3530743935895503,Education,33.3421552183287
1,2,2010,Texas,Angelina County,48005,39148.0,6.2,0.45,13.74,8.08,57.79,30.33,11.1,22.01,4.78,2.87,25.9,0.0,21.25,15.65,0.41,2.0,5.79,81300.0,54.93,90.0,0.0,9.57,31.83,5.9,4.49,0.3542026980283639,0.410377358490566,17.165694966190834,0.6284391874517872,0.4756379422713619,Healthcare Access,45.868691804268785
2,3,2010,Texas,Aransas County,48007,42179.0,6.84,0.47,11.58,8.18,61.85,31.66,15.85,14.83,8.03,2.44,26.8,0.0,11.2,2.06,0.17,1.0,6.17,129900.0,45.61,58.0,0.0,13.51,40.62,3.01,4.46,0.5640493485529806,0.6552315608919381,17.55697674418605,0.7066083826176395,0.3412970097743283,Community Context,27.733211847381384
3,6,2010,Texas,Atascosa County,48013,42927.0,9.49,0.43,16.59,10.14,57.11,37.23,7.27,26.18,3.7,6.15,26.7,0.02,9.77,2.87,0.18,1.0,6.01,80400.0,43.09,99.0,0.0,8.08,33.56,4.03,7.47,0.3005880318228986,0.3713550600343053,17.009313599892117,0.5443558755464131,0.546074559121852,Education,31.32119320077587
4,7,2010,Texas,Austin County,48015,53263.0,5.46,0.45,5.44,8.12,69.87,34.85,12.57,18.81,5.37,2.24,24.4,0.0,18.94,2.65,0.14,1.0,6.07,146500.0,48.07,94.0,0.0,11.81,29.26,7.71,4.36,0.4397555632422461,0.2697255574614066,9.061008103727715,0.3221907945487271,0.6477862985519492,Economic Stability,42.81513486401301
5,9,2010,Texas,Bandera County,48019,44352.0,4.89,0.45,11.27,9.72,64.75,30.86,16.51,10.96,7.51,0.0,26.2,0.0,26.88,9.34,0.2,1.0,3.03,147100.0,42.55,56.0,0.0,9.45,23.42,0.82,0.39,0.3653868326991814,0.5261578044596913,18.21961069340017,0.1781949087168938,0.7308512245141401,Education,25.434510637877985
6,10,2010,Texas,Bastrop County,48021,51829.0,6.51,0.41,10.71,5.74,63.74,32.96,12.33,19.41,5.57,3.48,26.6,0.0,17.05,5.44,0.2,2.0,4.1,119800.0,26.52,99.0,0.0,7.35,24.85,7.65,5.34,0.3635420269802837,0.4476843910806174,13.884657534246577,0.305991257392646,0.6625741983622655,Economic Stability,30.937678647671017
7,12,2010,Texas,Bee County,48025,40278.0,8.99,0.48,14.08,11.96,56.32,30.44,5.4,30.46,3.75,6.14,22.7,0.0,28.74,0.98,0.06,1.0,6.45,73200.0,64.75,96.0,0.0,12.23,31.23,3.85,6.69,0.1990084169260925,0.3443396226415094,18.1936942096808,0.4993571612239651,0.6062492159236422,Education,26.995926510655515
8,13,2010,Texas,Bell County,48027,48618.0,7.6,0.42,7.82,6.98,64.88,29.28,14.19,11.43,6.97,2.03,20.7,0.0,17.69,11.41,0.77,0.0,4.75,113800.0,39.03,89.0,0.0,6.26,34.7,4.52,2.86,0.2226449901994696,0.2555746140651801,13.74991335622037,0.4993571612239651,0.608034744799262,Healthcare Access,40.67224516313658
9,14,2010,Texas,Bexar County,48029,47048.0,6.91,0.46,11.36,8.93,61.31,25.69,16.18,18.58,9.15,2.88,23.1,0.0,4.54,3.65,0.4,1.0,8.28,117100.0,48.0,86.0,1.0,7.44,33.53,7.68,7.59,0.2423613513201891,0.2379931389365352,14.734235524626715,0.3291334533299049,0.7060122087123467,Healthcare Access,33.53266441620879
