Year,State,County,CountyFIPS,Median_Household_Income,Unemployment_Rate,Income_Inequality_Gini,Households_on_Food_Stamps,Households_Income_Below_10K,Population_Income_Above_200PCT_Poverty,High_School_Graduation_Rate,Bachelor_Degree_Rate,Less_Than_High_School_Edu,Graduate_Degree_Rate,Youth_Not_in_School_or_Work,Uninsured_Rate_Under_64,Hospitals_with_Ambulance_per_1K,Median_Distance_to_ER,Median_Distance_to_Clinic,Advanced_Nurses_per_1K,Primary_Care_Shortage_Score,Households_No_Vehicle,Median_Home_Value,Percent_Homes_Built_Pre_1979,Days_Heat_Index_Above_100F,Storm_Injuries_Total,Elderly_Living_Alone,Single_Parent_Households,Non_Citizen_Population,Limited_English_Households,Injury_Death_Rate,Self_Harm_Death_Rate,Poverty_Rate,Premature_Death_Rate,Adult_Health_Score,Max_SDOH_Category,Max_SDOH_Percent
2015,Texas,Anderson County,48001,41327.0,4.31,0.45,13.76,7.1,53.63,36.89,7.49,20.25,3.85,2.88,22.09,0.0,5.27,4.36,0.45,0.0,5.93,83000.0,46.14,67.0,0.0,12.37,36.02,4.89,3.18,0.4061122092139273,0.5321615557217649,19.40107178968655,0.5965050068721776,0.4670471775403387,Economic Stability,30.83031841622918
2015,Texas,Andrews County,48003,70423.0,3.91,0.44,9.35,3.94,71.43,33.59,8.82,25.55,2.87,11.48,21.95,0.0,1.14,1.14,0.77,2.0,2.67,111600.0,58.46,6.0,0.0,6.74,18.01,8.96,9.79,0.8333586741675534,0.6555721765145848,11.427781000257797,0.4023169055566464,0.4430450367642876,Economic Stability,29.98613938359153
2015,Texas,Angelina County,48005,44223.0,9.08,0.46,19.55,8.12,55.68,31.6,10.08,20.82,5.17,3.11,22.73,0.0,3.52,15.64,0.67,2.0,5.09,87100.0,48.69,60.0,0.0,10.36,38.01,6.21,3.51,0.4789417667629618,0.3717277486910994,18.754366769630952,0.4512075397604556,0.5484201712457281,Healthcare Access,39.48409691375605
2015,Texas,Aransas County,48007,41690.0,6.79,0.51,13.1,7.06,57.74,30.86,12.47,15.76,7.07,5.94,25.3,0.0,11.2,2.06,0.2,1.0,3.49,144000.0,38.49,34.0,0.0,14.43,33.61,3.58,1.87,0.790177892656226,0.6993268511593118,17.441229803200855,0.5772629098763009,0.3466562011614204,Healthcare Access,28.840110372483522
2015,Texas,Atascosa County,48013,52192.0,6.5,0.43,18.15,7.84,62.63,36.0,9.33,24.18,4.71,4.21,22.25,0.0,9.77,2.89,0.29,1.0,4.75,91500.0,39.71,74.0,0.0,9.07,36.12,3.52,10.73,0.5516192793066748,0.3178758414360508,13.62669864108713,0.3620655802081288,0.5854872839395152,Education,23.10907811503705
2015,Texas,Austin County,48015,53687.0,6.18,0.45,10.07,5.79,68.51,30.34,14.36,15.58,5.7,0.72,20.25,0.0,2.91,2.62,0.27,1.0,2.75,157000.0,42.53,65.0,0.0,11.51,20.92,7.05,2.72,0.6686939334042876,0.7131637995512341,11.141066836005711,0.2578048301590417,0.5733925419281651,Economic Stability,31.140746806522284
2015,Texas,Bandera County,48019,49863.0,4.82,0.41,9.49,7.21,70.8,29.19,15.41,14.22,7.2,3.28,23.24,0.0,19.33,9.34,0.09,1.0,2.22,146100.0,27.42,26.0,0.0,11.54,22.16,2.07,0.42,0.6586589630530637,0.5654450261780104,14.265752177039229,0.1867268800314157,0.6338216804474305,Healthcare Access,34.371238875637154
2015,Texas,Bastrop County,48021,54821.0,9.79,0.43,11.73,5.73,64.88,30.44,11.99,19.34,5.92,2.71,22.41,0.0,6.57,4.73,0.27,1.0,4.04,129500.0,26.15,67.0,1.0,8.29,23.47,8.64,3.76,0.7130910749581876,0.5295437546746447,13.258030165226616,0.265658747300216,0.5737230536649497,Economic Stability,39.023358274342385
2015,Texas,Bee County,48025,42302.0,7.03,0.48,15.9,9.62,51.01,33.08,6.26,27.43,3.4,1.41,26.04,0.0,2.56,0.99,0.18,1.0,7.37,72900.0,63.64,68.0,0.0,9.32,44.34,2.73,4.39,0.4191880796715828,0.3365744203440537,20.335745716634,0.420380914981347,0.5883575850753116,Economic Stability,22.64002024925351
2015,Texas,Bell County,48027,50550.0,9.5,0.43,12.88,7.45,62.48,28.25,15.15,10.09,8.0,1.77,15.53,0.0,2.92,2.93,1.18,0.0,5.47,127500.0,34.52,58.0,1.0,6.68,31.68,4.12,3.12,0.3381480918351831,0.3900523560209423,15.03736676356589,0.3479285293540154,0.6507932192349416,Healthcare Access,39.25648315202548
